"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length_sec"
"1","casual","Sunday",1410.1130541559
"2","member","Sunday",756.632968361658
"3","casual","Monday",1086.27006853061
"4","member","Monday",647.385484370164
"5","casual","Tuesday",911.117599600446
"6","member","Tuesday",636.896706893025
"7","casual","Wednesday",948.058594121564
"8","member","Wednesday",648.11121530611
"9","casual","Thursday",1038.58262108262
"10","member","Thursday",659.290286445831
"11","casual","Friday",1085.6674319449
"12","member","Friday",672.436349886564
"13","casual","Saturday",1348.27541373354
"14","member","Saturday",759.34148289207
