,member_casual,weekday,number_of_rides,average_duration,,,,,,,,,
1,casual,Sun,284613,1437.648386,,,,,,,,,
2,casual,Mon,296750,1524.525695,,weekday,Sun,Mon,Tue,Wed,Thu,Fri,Sat
3,casual,Tue,279039,1436.009805,,member,403485,407716,410356,404247,399196,408439,407326
4,casual,Wed,263405,1382.588334,,casual,284613,296750,279039,263405,264114,282906,292607
5,casual,Thu,264114,1367.882278,,,,,,,,,
6,casual,Fri,282906,1452.67778,,,,,,,,,
7,casual,Sat,292607,1436.467344,,,,,,,,,
8,member,Sun,403485,737.1844306,,,,,,,,,
9,member,Mon,407716,758.0032179,,,,,,,,,
10,member,Tue,410356,742.8521576,,,,,,,,,
11,member,Wed,404247,733.6858901,,,,,,,,,
12,member,Thu,399196,729.2210343,,,,,,,,,
13,member,Fri,408439,751.626118,,,,,,,,,
14,member,Sat,407326,753.370568,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,weekday,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,,,,
,member,737.1844306,758.0032179,742.8521576,733.6858901,729.2210343,751.626118,753.370568,,,,,
,casual,1437.648386,1524.525695,1436.009805,1382.588334,1367.882278,1452.67778,1436.467344,,,,,
