"","all_trips_v3$member_casual","all_trips_v3$day_of_week","all_trips_v3$ride_length"
"1","casual","Sunday",1697.64314857435
"2","member","Sunday",835.376453722839
"3","casual","Monday",1435.08288639688
"4","member","Monday",707.085741042806
"5","casual","Tuesday",1250.8695284852
"6","member","Tuesday",702.491698875108
"7","casual","Wednesday",1213.98685360386
"8","member","Wednesday",708.8452410287
"9","casual","Thursday",1247.41363255973
"10","member","Thursday",716.18240682108
"11","casual","Friday",1355.5883855821
"12","member","Friday",731.557734823689
"13","casual","Saturday",1617.99783563002
"14","member","Saturday",838.716127377097
